transform,train_fold,split,bacc,bacc_baseline,diff
brightness,0,0,0.46991103887557983,0.4572561979293823,0.01265484094619751
brightness,0,1,0.474241703748703,0.46093738079071045,0.013304322957992554
brightness,0,2,0.4712986350059509,0.46584194898605347,0.005456686019897461
brightness,0,3,0.4918923079967499,0.47595125436782837,0.01594105362892151
brightness,0,4,0.4444434940814972,0.4360010027885437,0.008442491292953491
brightness,1,0,0.4564574956893921,0.44320130348205566,0.013256192207336426
brightness,1,1,0.49056899547576904,0.4517035484313965,0.03886544704437256
brightness,1,2,0.4903903305530548,0.46259772777557373,0.02779260277748108
brightness,1,3,0.471699059009552,0.441262423992157,0.03043663501739502
brightness,1,4,0.49837222695350647,0.48202264308929443,0.016349583864212036
center_crop,0,0,0.4572561979293823,0.4572561979293823,0.0
center_crop,0,1,0.46093738079071045,0.46093738079071045,0.0
center_crop,0,2,0.46584194898605347,0.46584194898605347,0.0
center_crop,0,3,0.47595125436782837,0.47595125436782837,0.0
center_crop,0,4,0.4360010027885437,0.4360010027885437,0.0
center_crop,1,0,0.44320130348205566,0.44320130348205566,0.0
center_crop,1,1,0.4517035484313965,0.4517035484313965,0.0
center_crop,1,2,0.46259772777557373,0.46259772777557373,0.0
center_crop,1,3,0.441262423992157,0.441262423992157,0.0
center_crop,1,4,0.48202264308929443,0.48202264308929443,0.0
contrast,0,0,0.4759581387042999,0.4572561979293823,0.018701940774917603
contrast,0,1,0.4841785430908203,0.46093738079071045,0.023241162300109863
contrast,0,2,0.48121485114097595,0.46584194898605347,0.015372902154922485
contrast,0,3,0.4788180887699127,0.47595125436782837,0.0028668344020843506
contrast,0,4,0.4601149559020996,0.4360010027885437,0.024113953113555908
contrast,1,0,0.4740791320800781,0.44320130348205566,0.03087782859802246
contrast,1,1,0.4994022846221924,0.4517035484313965,0.0476987361907959
contrast,1,2,0.49639958143234253,0.46259772777557373,0.0338018536567688
contrast,1,3,0.46990570425987244,0.441262423992157,0.028643280267715454
contrast,1,4,0.5017824172973633,0.48202264308929443,0.019759774208068848
elastic_transform,0,0,0.45835697650909424,0.4572561979293823,0.001100778579711914
elastic_transform,0,1,0.4680247902870178,0.46093738079071045,0.007087409496307373
elastic_transform,0,2,0.497936487197876,0.46584194898605347,0.03209453821182251
elastic_transform,0,3,0.47720932960510254,0.47595125436782837,0.00125807523727417
elastic_transform,0,4,0.4509795308113098,0.4360010027885437,0.014978528022766113
elastic_transform,1,0,0.4749431014060974,0.44320130348205566,0.03174179792404175
elastic_transform,1,1,0.4889363944530487,0.4517035484313965,0.03723284602165222
elastic_transform,1,2,0.47316622734069824,0.46259772777557373,0.010568499565124512
elastic_transform,1,3,0.4819479286670685,0.441262423992157,0.0406855046749115
elastic_transform,1,4,0.4957141876220703,0.48202264308929443,0.013691544532775879
equalize,0,0,0.49132102727890015,0.4572561979293823,0.03406482934951782
equalize,0,1,0.4874001145362854,0.46093738079071045,0.02646273374557495
equalize,0,2,0.489035427570343,0.46584194898605347,0.02319347858428955
equalize,0,3,0.49336037039756775,0.47595125436782837,0.01740911602973938
equalize,0,4,0.4500221610069275,0.4360010027885437,0.014021158218383789
equalize,1,0,0.4597311317920685,0.44320130348205566,0.016529828310012817
equalize,1,1,0.49807673692703247,0.4517035484313965,0.046373188495635986
equalize,1,2,0.5188459157943726,0.46259772777557373,0.05624818801879883
equalize,1,3,0.46027153730392456,0.441262423992157,0.019009113311767578
equalize,1,4,0.5095524787902832,0.48202264308929443,0.02752983570098877
gaussian_blur,0,0,0.45733699202537537,0.4572561979293823,8.079409599304199e-05
gaussian_blur,0,1,0.4867820739746094,0.46093738079071045,0.025844693183898926
gaussian_blur,0,2,0.4857426881790161,0.46584194898605347,0.019900739192962646
gaussian_blur,0,3,0.46142786741256714,0.47595125436782837,-0.01452338695526123
gaussian_blur,0,4,0.45258629322052,0.4360010027885437,0.01658529043197632
gaussian_blur,1,0,0.45106077194213867,0.44320130348205566,0.007859468460083008
