augmentations,ops,split,train_fold,bacc,baseline_bacc,diff
all,1,0,0,0.5495544672012329,0.4572561979293823,0.09229826927185059
all,1,0,1,0.5190724730491638,0.44320130348205566,0.07587116956710815
all,1,1,0,0.5433017015457153,0.46093738079071045,0.08236432075500488
all,1,1,1,0.5176926851272583,0.4517035484313965,0.06598913669586182
all,1,2,0,0.5451599359512329,0.46584194898605347,0.07931798696517944
all,1,2,1,0.5395254492759705,0.46259772777557373,0.07692772150039673
all,1,3,0,0.5468483567237854,0.47595125436782837,0.07089710235595703
all,1,3,1,0.514729380607605,0.441262423992157,0.073466956615448
all,1,4,0,0.495808869600296,0.4360010027885437,0.05980786681175232
all,1,4,1,0.5534156560897827,0.48202264308929443,0.07139301300048828
all,2,0,0,0.5500248074531555,0.4572561979293823,0.0927686095237732
all,2,0,1,0.5471252202987671,0.44320130348205566,0.10392391681671143
all,2,1,0,0.5603154301643372,0.46093738079071045,0.09937804937362671
all,2,1,1,0.5426781177520752,0.4517035484313965,0.09097456932067871
all,2,2,0,0.5752724409103394,0.46584194898605347,0.10943049192428589
all,2,2,1,0.5490186810493469,0.46259772777557373,0.0864209532737732
all,2,3,0,0.5679429769515991,0.47595125436782837,0.09199172258377075
all,2,3,1,0.5267273187637329,0.441262423992157,0.08546489477157593
all,2,4,0,0.5140316486358643,0.4360010027885437,0.07803064584732056
all,2,4,1,0.5790393352508545,0.48202264308929443,0.09701669216156006
all,3,0,0,0.5600661635398865,0.4572561979293823,0.10280996561050415
all,3,0,1,0.5494763851165771,0.44320130348205566,0.10627508163452148
all,3,1,0,0.563700795173645,0.46093738079071045,0.10276341438293457
all,3,1,1,0.549310564994812,0.4517035484313965,0.09760701656341553
all,3,2,0,0.5723932981491089,0.46584194898605347,0.10655134916305542
all,3,2,1,0.5560972094535828,0.46259772777557373,0.09349948167800903
all,3,3,0,0.5575557947158813,0.47595125436782837,0.08160454034805298
all,3,3,1,0.5355749130249023,0.441262423992157,0.09431248903274536
all,3,4,0,0.5320240259170532,0.4360010027885437,0.09602302312850952
all,3,4,1,0.5856149196624756,0.48202264308929443,0.10359227657318115
all,4,0,0,0.5625351667404175,0.4572561979293823,0.10527896881103516
all,4,0,1,0.5429674386978149,0.44320130348205566,0.09976613521575928
all,4,1,0,0.5768975019454956,0.46093738079071045,0.11596012115478516
all,4,1,1,0.5487860441207886,0.4517035484313965,0.09708249568939209
all,4,2,0,0.5721902847290039,0.46584194898605347,0.10634833574295044
all,4,2,1,0.5614798665046692,0.46259772777557373,0.09888213872909546
all,4,3,0,0.5631449222564697,0.47595125436782837,0.08719366788864136
all,4,3,1,0.5400552749633789,0.441262423992157,0.09879285097122192
all,4,4,0,0.5302952527999878,0.4360010027885437,0.09429425001144409
all,4,4,1,0.5921235084533691,0.48202264308929443,0.11010086536407471
all,5,0,0,0.5738193988800049,0.4572561979293823,0.11656320095062256
