transform,train_fold,split,bacc,bacc_baseline,diff
brightness,0,0,0.7489728927612305,0.7265173196792603,0.022455573081970215
brightness,0,1,0.7578916549682617,0.7391587495803833,0.018732905387878418
brightness,0,2,0.7500331401824951,0.7275251150131226,0.02250802516937256
brightness,0,3,0.7446225881576538,0.7262378334999084,0.01838475465774536
brightness,0,4,0.7390333414077759,0.7214546203613281,0.017578721046447754
brightness,1,0,0.7609093189239502,0.731102705001831,0.02980661392211914
brightness,1,1,0.7540690898895264,0.738571047782898,0.015498042106628418
brightness,1,2,0.7484961748123169,0.7346861362457275,0.013810038566589355
brightness,1,3,0.7502928972244263,0.7382703423500061,0.012022554874420166
brightness,1,4,0.7758034467697144,0.749057412147522,0.026746034622192383
center_crop,0,0,0.7265173196792603,0.7265173196792603,0.0
center_crop,0,1,0.7391587495803833,0.7391587495803833,0.0
center_crop,0,2,0.7275251150131226,0.7275251150131226,0.0
center_crop,0,3,0.7262378334999084,0.7262378334999084,0.0
center_crop,0,4,0.7214546203613281,0.7214546203613281,0.0
center_crop,1,0,0.731102705001831,0.731102705001831,0.0
center_crop,1,1,0.738571047782898,0.738571047782898,0.0
center_crop,1,2,0.7346861362457275,0.7346861362457275,0.0
center_crop,1,3,0.7382703423500061,0.7382703423500061,0.0
center_crop,1,4,0.749057412147522,0.749057412147522,0.0
contrast,0,0,0.7483193278312683,0.7265173196792603,0.021802008152008057
contrast,0,1,0.746582567691803,0.7391587495803833,0.007423818111419678
contrast,0,2,0.7453733682632446,0.7275251150131226,0.01784825325012207
contrast,0,3,0.7372260093688965,0.7262378334999084,0.010988175868988037
contrast,0,4,0.7392840385437012,0.7214546203613281,0.017829418182373047
contrast,1,0,0.7507212162017822,0.731102705001831,0.019618511199951172
contrast,1,1,0.7582178115844727,0.738571047782898,0.019646763801574707
contrast,1,2,0.7378897666931152,0.7346861362457275,0.0032036304473876953
contrast,1,3,0.7553096413612366,0.7382703423500061,0.01703929901123047
contrast,1,4,0.7673298716545105,0.749057412147522,0.018272459506988525
elastic_transform,0,0,0.7552754878997803,0.7265173196792603,0.02875816822052002
elastic_transform,0,1,0.7693060040473938,0.7391587495803833,0.030147254467010498
elastic_transform,0,2,0.7864007353782654,0.7275251150131226,0.05887562036514282
elastic_transform,0,3,0.7751217484474182,0.7262378334999084,0.048883914947509766
elastic_transform,0,4,0.7701626420021057,0.7214546203613281,0.04870802164077759
elastic_transform,1,0,0.7621538639068604,0.731102705001831,0.031051158905029297
elastic_transform,1,1,0.7692408561706543,0.738571047782898,0.030669808387756348
elastic_transform,1,2,0.7539979219436646,0.7346861362457275,0.01931178569793701
elastic_transform,1,3,0.7595301866531372,0.7382703423500061,0.021259844303131104
elastic_transform,1,4,0.7873380780220032,0.749057412147522,0.0382806658744812
equalize,0,0,0.749393105506897,0.7265173196792603,0.02287578582763672
equalize,0,1,0.7575341463088989,0.7391587495803833,0.018375396728515625
equalize,0,2,0.7438268661499023,0.7275251150131226,0.016301751136779785
equalize,0,3,0.743668794631958,0.7262378334999084,0.01743096113204956
equalize,0,4,0.7354080677032471,0.7214546203613281,0.013953447341918945
equalize,1,0,0.7855111956596375,0.731102705001831,0.054408490657806396
equalize,1,1,0.7508631348609924,0.738571047782898,0.012292087078094482
equalize,1,2,0.7415646314620972,0.7346861362457275,0.006878495216369629
equalize,1,3,0.7472679615020752,0.7382703423500061,0.008997619152069092
equalize,1,4,0.7682444453239441,0.749057412147522,0.01918703317642212
gaussian_blur,0,0,0.7451913952827454,0.7265173196792603,0.018674075603485107
gaussian_blur,0,1,0.7468348741531372,0.7391587495803833,0.007676124572753906
gaussian_blur,0,2,0.7470015287399292,0.7275251150131226,0.01947641372680664
gaussian_blur,0,3,0.7271915674209595,0.7262378334999084,0.0009537339210510254
gaussian_blur,0,4,0.7253534197807312,0.7214546203613281,0.003898799419403076
gaussian_blur,1,0,0.7387183904647827,0.731102705001831,0.00761568546295166
gaussian_blur,1,1,0.7574805617332458,0.738571047782898,0.0189095139503479
gaussian_blur,1,2,0.7403467297554016,0.7346861362457275,0.005660593509674072
gaussian_blur,1,3,0.7557063698768616,0.7382703423500061,0.01743602752685547
gaussian_blur,1,4,0.7643435597419739,0.749057412147522,0.015286147594451904
gaussian_noise,0,0,0.7451913952827454,0.7265173196792603,0.018674075603485107
gaussian_noise,0,1,0.7563143968582153,0.7391587495803833,0.01715564727783203
gaussian_noise,0,2,0.7854846119880676,0.7275251150131226,0.05795949697494507
gaussian_noise,0,3,0.7716822028160095,0.7262378334999084,0.045444369316101074
gaussian_noise,0,4,0.7546207904815674,0.7214546203613281,0.03316617012023926
gaussian_noise,1,0,0.7920958399772644,0.731102705001831,0.06099313497543335
gaussian_noise,1,1,0.7771272659301758,0.738571047782898,0.03855621814727783
gaussian_noise,1,2,0.7702120542526245,0.7346861362457275,0.03552591800689697
gaussian_noise,1,3,0.7689272165298462,0.7382703423500061,0.030656874179840088
gaussian_noise,1,4,0.7982007265090942,0.749057412147522,0.049143314361572266
grid_distortion,0,0,0.7616713047027588,0.7265173196792603,0.035153985023498535
grid_distortion,0,1,0.7516140937805176,0.7391587495803833,0.012455344200134277
grid_distortion,0,2,0.7669243812561035,0.7275251150131226,0.03939926624298096
grid_distortion,0,3,0.7639914751052856,0.7262378334999084,0.0377536416053772
grid_distortion,0,4,0.7543851733207703,0.7214546203613281,0.03293055295944214
grid_distortion,1,0,0.7699309587478638,0.731102705001831,0.038828253746032715
grid_distortion,1,1,0.7691894769668579,0.738571047782898,0.03061842918395996
grid_distortion,1,2,0.7589436769485474,0.7346861362457275,0.024257540702819824
grid_distortion,1,3,0.7660620212554932,0.7382703423500061,0.02779167890548706
