transform,bacc,bacc_baseline,diff,t_stat,p_value,p_value_adj,reject
brightness,0.7530124545097351,0.7332581281661987,0.019754326343536376,4.36483896914397,0.003628583827541348,0.058057341240661565,False
center_crop,0.7332581281661987,0.7332581281661987,0.0,,,,
contrast,0.7486253619194031,0.7332581281661987,0.015367233753204345,3.4239727633835138,0.009378696324775133,0.13130174854685187,False
elastic_transform,0.7688527524471283,0.7332581281661987,0.03559462428092956,1.8400552911721284,0.0625693514349103,0.5631241629141926,False
equalize,0.752328234910965,0.7332581281661987,0.019070106744766235,2.072242249522539,0.04648709532701872,0.5113580485972059,False
gaussian_blur,0.7448168396949768,0.7332581281661987,0.011558711528778076,2.036670410737928,0.0486403001179931,0.5113580485972059,False
gaussian_noise,0.771985650062561,0.7332581281661987,0.038727521896362305,1.0396825377171197,0.17306344518126043,1.0,False
grid_distortion,0.7644470036029816,0.7332581281661987,0.031188875436782837,4.2884632603566715,0.003900228939993771,0.05850343409990657,False
horizontal_flip,0.7501248478889465,0.7332581281661987,0.0168667197227478,4.752985404328248,0.0025455057852890014,0.04581910413520202,True
median_blur,0.7506729006767273,0.7332581281661987,0.017414772510528566,0.9147748416617387,0.2011354385289809,1.0,False
random_crop,0.7621407568454742,0.7332581281661987,0.02888262867927551,2.6693339782857963,0.02219197452822623,0.288495668866941,False
rotation,0.7836178958415985,0.7332581281661987,0.05035976767539978,4.692245882782221,0.0026871375382393307,0.04581910413520202,True
saturation,0.733447790145874,0.7332581281661987,0.00018966197967529297,-2.2081523786294075,0.96085685474337,1.0,False
scaling,0.7663977026939393,0.7332581281661987,0.03313957452774048,1.157218608934855,0.14972945348469857,1.0,False
shear_x,0.7637439131736755,0.7332581281661987,0.030485785007476805,1.113050262641208,0.1581575419289538,1.0,False
shear_y,0.7602417528629303,0.7332581281661987,0.026983624696731566,1.09955409364356,0.16081378269027058,1.0,False
translate_x,0.7544186830520629,0.7332581281661987,0.02116055488586426,1.6174106959491261,0.08335659185488031,0.6668527348390425,False
translate_y,0.7597055196762085,0.7332581281661987,0.026447391510009764,2.2997895822823455,0.03489539985302311,0.4187447982362773,False
vertical_flip,0.7402919411659241,0.7332581281661987,0.007033812999725342,0.8222193329702442,0.22418588493189223,1.0,False
