augmentations,ops,bacc,baseline_bacc,diff,t_stat,p_value,p_value_adj,reject
all,1,0.7931913077831269,0.7332581281661987,0.0599331796169281,4.910553610436987,0.002216829231695494,0.024385121548650433,True
all,2,0.8032600402832031,0.7332581281661987,0.07000191211700439,9.74883832217313,9.655059259568882e-05,0.0014482588889353323,True
all,3,0.8111205160617828,0.7332581281661987,0.07786238789558411,6.914710351590423,0.0004849499018822521,0.0058863505801553685,True
all,4,0.8164312720298768,0.7332581281661987,0.08317314386367798,9.104289343734889,0.00013380827179682934,0.0018733158051556108,True
all,5,0.8134368538856507,0.7332581281661987,0.08017872571945191,7.018643360979858,0.00045279619847348986,0.0058863505801553685,True
top10,1,0.7954274654388428,0.7332581281661987,0.062169337272644044,4.469451623710983,0.003291299590757789,0.03115374277987583,True
top10,2,0.7996005356311798,0.7332581281661987,0.06634240746498107,2.162390280418818,0.04146808866902965,0.13198111367155843,False
top10,3,0.8042093098163605,0.7332581281661987,0.07095118165016175,3.173325873779124,0.012361255402377778,0.08652878781664444,False
top10,4,0.8033143699169158,0.7332581281661987,0.07005624175071716,2.434351744718559,0.02953155988349241,0.13198111367155843,False
top10,5,0.8011292278766632,0.7332581281661987,0.06787109971046448,3.6425809252526045,0.007431622670525322,0.05945298136420257,False
top5,1,0.7930560410022736,0.7332581281661987,0.05979791283607483,4.52907884329964,0.003115374277987583,0.03115374277987583,True
top5,2,0.7999106526374817,0.7332581281661987,0.06665252447128296,2.895806238982215,0.0169780974697392,0.10186858481843519,False
top5,3,0.7958450257778168,0.7332581281661987,0.06258689761161804,2.525912588590678,0.02639622273431169,0.13198111367155843,False
top5,4,0.792438519001007,0.7332581281661987,0.05918039083480835,1.722750260036309,0.07277258066556276,0.14554516133112552,False
top5,5,0.7799249351024627,0.7332581281661987,0.04666680693626404,0.8452184200657682,0.2182777132915464,0.2182777132915464,False
