augmentations,ops,split,train_fold,bacc,baseline_bacc,diff
all,1,0,0,0.7783846855163574,0.7265173196792603,0.05186736583709717
all,1,0,1,0.8019688725471497,0.731102705001831,0.0708661675453186
all,1,1,0,0.7878023386001587,0.7391587495803833,0.04864358901977539
all,1,1,1,0.795522928237915,0.738571047782898,0.05695188045501709
all,1,2,0,0.8086637854576111,0.7275251150131226,0.08113867044448853
all,1,2,1,0.7917373180389404,0.7346861362457275,0.05705118179321289
all,1,3,0,0.7809354662895203,0.7262378334999084,0.054697632789611816
all,1,3,1,0.8011738061904907,0.7382703423500061,0.06290346384048462
all,1,4,0,0.7821477651596069,0.7214546203613281,0.06069314479827881
all,1,4,1,0.8035761117935181,0.749057412147522,0.054518699645996094
all,2,0,0,0.7938375473022461,0.7265173196792603,0.06732022762298584
all,2,0,1,0.8074209690093994,0.731102705001831,0.07631826400756836
all,2,1,0,0.7957781553268433,0.7391587495803833,0.05661940574645996
all,2,1,1,0.8108154535293579,0.738571047782898,0.07224440574645996
all,2,2,0,0.8063032627105713,0.7275251150131226,0.07877814769744873
all,2,2,1,0.8065745830535889,0.7346861362457275,0.07188844680786133
all,2,3,0,0.7937398552894592,0.7262378334999084,0.06750202178955078
all,2,3,1,0.8075458407402039,0.7382703423500061,0.06927549839019775
all,2,4,0,0.7965192794799805,0.7214546203613281,0.07506465911865234
all,2,4,1,0.8140654563903809,0.749057412147522,0.06500804424285889
all,3,0,0,0.7972455620765686,0.7265173196792603,0.07072824239730835
all,3,0,1,0.8091757893562317,0.731102705001831,0.07807308435440063
all,3,1,0,0.8073554039001465,0.7391587495803833,0.06819665431976318
all,3,1,1,0.8247361779212952,0.738571047782898,0.08616513013839722
all,3,2,0,0.8127341270446777,0.7275251150131226,0.08520901203155518
all,3,2,1,0.8133313655853271,0.7346861362457275,0.07864522933959961
all,3,3,0,0.7953733205795288,0.7262378334999084,0.06913548707962036
all,3,3,1,0.8183754682540894,0.7382703423500061,0.08010512590408325
all,3,4,0,0.8138850927352905,0.7214546203613281,0.0924304723739624
all,3,4,1,0.8189928531646729,0.749057412147522,0.06993544101715088
all,4,0,0,0.8028011322021484,0.7265173196792603,0.07628381252288818
