operation1,operation2,split,train_fold,run,bacc
brightness,contrast,0,0,45327939,0.8189388513565063
brightness,contrast,0,1,45327939,0.8150234222412109
brightness,contrast,1,0,45327939,0.7964932918548584
brightness,contrast,1,1,45327939,0.8288244009017944
brightness,contrast,2,0,45327939,0.7937654256820679
brightness,contrast,2,1,45327939,0.808441162109375
brightness,contrast,3,0,45327939,0.806309700012207
brightness,contrast,3,1,45327939,0.8511848449707031
brightness,contrast,4,0,45327939,0.8352211713790894
brightness,contrast,4,1,45327939,0.8267513513565063
brightness,equalize,0,0,45327170,0.8153353929519653
brightness,equalize,0,1,45327170,0.7955565452575684
brightness,equalize,1,0,45327170,0.798568844795227
brightness,equalize,1,1,45327170,0.8178880214691162
brightness,equalize,2,0,45327170,0.8224238157272339
brightness,equalize,2,1,45327170,0.7983360290527344
brightness,equalize,3,0,45327170,0.7986756563186646
brightness,equalize,3,1,45327170,0.8281326293945312
brightness,equalize,4,0,45327170,0.8265354633331299
brightness,equalize,4,1,45327170,0.7944635152816772
brightness,gaussian_blur,0,0,45327401,0.7953943014144897
brightness,gaussian_blur,0,1,45327401,0.8123761415481567
brightness,gaussian_blur,1,0,45327401,0.8162111043930054
brightness,gaussian_blur,1,1,45327401,0.8473124504089355
brightness,gaussian_blur,2,0,45327401,0.7817133665084839
brightness,gaussian_blur,2,1,45327401,0.8032954931259155
brightness,gaussian_blur,3,0,45327401,0.8256735801696777
brightness,gaussian_blur,3,1,45327401,0.8447191715240479
brightness,gaussian_blur,4,0,45327401,0.8093162775039673
brightness,gaussian_blur,4,1,45327401,0.8003695011138916
brightness,gaussian_noise,0,0,45329014,0.8233983516693115
brightness,gaussian_noise,0,1,45329014,0.8318657875061035
brightness,gaussian_noise,1,0,45329014,0.808638334274292
brightness,gaussian_noise,1,1,45329014,0.8364696502685547
brightness,gaussian_noise,2,0,45329014,0.8310640454292297
brightness,gaussian_noise,2,1,45329014,0.8247021436691284
brightness,gaussian_noise,3,0,45329014,0.8328372240066528
brightness,gaussian_noise,3,1,45329014,0.8560435771942139
brightness,gaussian_noise,4,0,45329014,0.8515408039093018
brightness,gaussian_noise,4,1,45329014,0.8271392583847046
brightness,grid_distortion,0,0,45327252,0.8189014196395874
brightness,grid_distortion,0,0,45334516,0.8219455480575562
brightness,grid_distortion,0,1,45327252,0.8395891189575195
brightness,grid_distortion,0,1,45334516,0.8369574546813965
brightness,grid_distortion,1,0,45327252,0.845844030380249
brightness,grid_distortion,1,0,45334516,0.8347980976104736
brightness,grid_distortion,1,1,45327252,0.8444644212722778
brightness,grid_distortion,1,1,45334516,0.8461484909057617
brightness,grid_distortion,2,0,45327252,0.8058727979660034
brightness,grid_distortion,2,0,45334516,0.8009527921676636
brightness,grid_distortion,2,1,45327252,0.8265807628631592
brightness,grid_distortion,2,1,45334516,0.8170568943023682
brightness,grid_distortion,3,0,45327252,0.8394334316253662
brightness,grid_distortion,3,0,45334516,0.8280338048934937
brightness,grid_distortion,3,1,45327252,0.8511464595794678
brightness,grid_distortion,3,1,45334516,0.8508749008178711
brightness,grid_distortion,4,0,45327252,0.8328609466552734
brightness,grid_distortion,4,0,45334516,0.8251200914382935
brightness,grid_distortion,4,1,45327252,0.8328518867492676
brightness,grid_distortion,4,1,45334516,0.8273723125457764
brightness,horizontal_flip,0,0,45327829,0.8409554958343506
brightness,horizontal_flip,0,1,45327829,0.8197883367538452
brightness,horizontal_flip,1,0,45327829,0.8186779022216797
brightness,horizontal_flip,1,1,45327829,0.8341647386550903
brightness,horizontal_flip,2,0,45327829,0.8152049779891968
brightness,horizontal_flip,2,1,45327829,0.8387351036071777
brightness,horizontal_flip,3,0,45327829,0.7963252663612366
brightness,horizontal_flip,3,1,45327829,0.8496558666229248
brightness,horizontal_flip,4,0,45327829,0.8433157205581665
brightness,horizontal_flip,4,1,45327829,0.8138594627380371
brightness,median_blur,0,0,45327280,0.8232442140579224
brightness,median_blur,0,0,45334532,0.8232442140579224
brightness,median_blur,0,1,45327280,0.8255165815353394
brightness,median_blur,0,1,45334532,0.8281867504119873
