augmentations,ops,split,train_fold,bacc,baseline_bacc,diff
all,1,0,0,0.8463598489761353,0.7718732953071594,0.07448655366897583
all,1,0,1,0.8337215185165405,0.7882920503616333,0.04542946815490723
all,1,1,0,0.8280950784683228,0.7598034739494324,0.06829160451889038
all,1,1,1,0.8558272123336792,0.8089780807495117,0.04684913158416748
all,1,2,0,0.8447310924530029,0.7775148749351501,0.06721621751785278
all,1,2,1,0.8391231298446655,0.7833554148674011,0.055767714977264404
all,1,3,0,0.8299096822738647,0.7818577289581299,0.04805195331573486
all,1,3,1,0.8797948360443115,0.8332014083862305,0.046593427658081055
all,1,4,0,0.8480124473571777,0.8177568912506104,0.030255556106567383
all,1,4,1,0.8399926424026489,0.7744848728179932,0.06550776958465576
all,2,0,0,0.8505722284317017,0.7718732953071594,0.07869893312454224
all,2,0,1,0.8473893404006958,0.7882920503616333,0.0590972900390625
all,2,1,0,0.8429065942764282,0.7598034739494324,0.08310312032699585
all,2,1,1,0.8744473457336426,0.8089780807495117,0.06546926498413086
all,2,2,0,0.8488821983337402,0.7775148749351501,0.07136732339859009
all,2,2,1,0.8530009984970093,0.7833554148674011,0.06964558362960815
all,2,3,0,0.8337682485580444,0.7818577289581299,0.05191051959991455
all,2,3,1,0.8943321704864502,0.8332014083862305,0.06113076210021973
all,2,4,0,0.8489434719085693,0.8177568912506104,0.031186580657958984
all,2,4,1,0.8316723108291626,0.7744848728179932,0.057187438011169434
all,3,0,0,0.8704204559326172,0.7718732953071594,0.09854716062545776
all,3,0,1,0.8538166284561157,0.7882920503616333,0.06552457809448242
all,3,1,0,0.8458815813064575,0.7598034739494324,0.08607810735702515
all,3,1,1,0.8702481985092163,0.8089780807495117,0.06127011775970459
all,3,2,0,0.8493665456771851,0.7775148749351501,0.07185167074203491
all,3,2,1,0.845355749130249,0.7833554148674011,0.0620003342628479
all,3,3,0,0.837496280670166,0.7818577289581299,0.05563855171203613
all,3,3,1,0.8928415775299072,0.8332014083862305,0.05964016914367676
all,3,4,0,0.8548083305358887,0.8177568912506104,0.03705143928527832
all,3,4,1,0.8347461223602295,0.7744848728179932,0.06026124954223633
all,4,0,0,0.8677676916122437,0.7718732953071594,0.09589439630508423
all,4,0,1,0.8468307256698608,0.7882920503616333,0.05853867530822754
all,4,1,0,0.8597105741500854,0.7598034739494324,0.09990710020065308
all,4,1,1,0.851783037185669,0.8089780807495117,0.04280495643615723
all,4,2,0,0.8348296880722046,0.7775148749351501,0.05731481313705444
all,4,2,1,0.8287308216094971,0.7833554148674011,0.04537540674209595
all,4,3,0,0.8565676212310791,0.7818577289581299,0.07470989227294922
all,4,3,1,0.883550763130188,0.8332014083862305,0.05034935474395752
all,4,4,0,0.851825475692749,0.8177568912506104,0.03406858444213867
all,4,4,1,0.8287464380264282,0.7744848728179932,0.05426156520843506
all,5,0,0,0.8353753089904785,0.7718732953071594,0.06350201368331909
all,5,0,1,0.8351569175720215,0.7882920503616333,0.046864867210388184
all,5,1,0,0.8328609466552734,0.7598034739494324,0.07305747270584106
all,5,1,1,0.8464199304580688,0.8089780807495117,0.03744184970855713
all,5,2,0,0.8444464206695557,0.7775148749351501,0.06693154573440552
all,5,2,1,0.8314008712768555,0.7833554148674011,0.048045456409454346
all,5,3,0,0.8334144353866577,0.7818577289581299,0.05155670642852783
all,5,3,1,0.8710469007492065,0.8332014083862305,0.037845492362976074
all,5,4,0,0.8571685552597046,0.8177568912506104,0.03941166400909424
all,5,4,1,0.8246637582778931,0.7744848728179932,0.0501788854598999
geometric,1,0,0,0.8674454689025879,0.7718732953071594,0.09557217359542847
geometric,1,0,1,0.857494592666626,0.7882920503616333,0.06920254230499268
geometric,1,1,0,0.8263496160507202,0.7598034739494324,0.06654614210128784
geometric,1,1,1,0.8570067882537842,0.8089780807495117,0.04802870750427246
